Source,Organism,Molecule,host strain,host gender,host age (yr),pathogen,bacterial strain,pathogen   dosage cfu/g,inoculum route,anatomic site of infection,infection status,time after infection (h),replicate number,experimental batch
blood 129S1/SvImJ mouse strain NOT infected,Mus musculus,total RNA,129S1/SvImJ,male,0.50-0.66,-,-,-,-,-,-,0,1,2
blood 129S1/SvImJ mouse strain NOT infected,Mus musculus,total RNA,129S1/SvImJ,male,0.50-0.66,-,-,-,-,-,-,0,2,2
blood 129S1/SvImJ mouse strain NOT infected,Mus musculus,total RNA,129S1/SvImJ,male,0.50-0.66,-,-,-,-,-,-,0,3,2
blood 129S1/SvImJ mouse strain blood taken 2 hours after infection with S. aureus Sanger476,Mus musculus,total RNA,129S1/SvImJ,male,0.50-0.66,Staphylococcus aureus,Sanger476,1.00E+07,peritoneum,-,infected,2,1,2
blood 129S1/SvImJ mouse strain blood taken 2 hours after infection with S. aureus Sanger476,Mus musculus,total RNA,129S1/SvImJ,male,0.50-0.66,Staphylococcus aureus,Sanger476,1.00E+07,peritoneum,-,infected,2,2,2
blood 129S1/SvImJ mouse strain blood taken 2 hours after infection with S. aureus Sanger476,Mus musculus,total RNA,129S1/SvImJ,male,0.50-0.66,Staphylococcus aureus,Sanger476,1.00E+07,peritoneum,-,infected,2,3,2
blood A/J mouse strain NOT infected,Mus musculus,total RNA,A/J,male,0.50-0.66,-,-,-,-,-,-,0,1,6
blood A/J mouse strain NOT infected,Mus musculus,total RNA,A/J,male,0.50-0.66,-,-,-,-,-,-,0,2,6
blood A/J mouse strain NOT infected,Mus musculus,total RNA,A/J,male,0.50-0.66,-,-,-,-,-,-,0,3,6
blood A/J mouse strain NOT infected,Mus musculus,total RNA,A/J,male,0.50-0.66,-,-,-,-,-,-,0,1,1
blood A/J mouse strain NOT infected,Mus musculus,total RNA,A/J,male,0.50-0.66,-,-,-,-,-,-,0,2,1
blood A/J mouse strain NOT infected,Mus musculus,total RNA,A/J,male,0.50-0.66,-,-,-,-,-,-,0,3,1
blood A/J mouse strain NOT infected,Mus musculus,total RNA,A/J,male,0.50-0.66,-,-,-,-,-,-,0,4,1
blood A/J mouse strain NOT infected,Mus musculus,total RNA,A/J,male,0.50-0.66,-,-,-,-,-,-,0,5,1
blood A/J mouse strain NOT infected,Mus musculus,total RNA,A/J,male,0.50-0.66,-,-,-,-,-,-,0,5,2
blood A/J mouse strain NOT infected,Mus musculus,total RNA,A/J,male,0.50-0.66,-,-,-,-,-,-,0,1,2
blood A/J mouse strain NOT infected,Mus musculus,total RNA,A/J,male,0.50-0.66,-,-,-,-,-,-,0,2,2
blood A/J mouse strain NOT infected,Mus musculus,total RNA,A/J,male,0.50-0.66,-,-,-,-,-,-,0,3,2
blood A/J mouse strain NOT infected,Mus musculus,total RNA,A/J,male,0.50-0.66,-,-,-,-,-,-,0,4,2
blood A/J mouse strain NOT infected,Mus musculus,total RNA,A/J,male,0.50-0.66,-,-,-,-,-,-,0,1,2
blood A/J mouse strain NOT infected,Mus musculus,total RNA,A/J,male,0.50-0.66,-,-,-,-,-,-,0,2,2
blood A/J mouse strain NOT infected,Mus musculus,total RNA,A/J,male,0.50-0.66,-,-,-,-,-,-,0,3,2
blood A/J mouse strain blood taken 24 hours after infection with E. coli,Mus musculus,total RNA,A/J,male,0.50-0.66,Escherichia  coli,O18:K1:H7,6.00E+04,peritoneum,-,infected,24,1,1
blood A/J mouse strain blood taken 24 hours after infection with E. coli,Mus musculus,total RNA,A/J,male,0.50-0.66,Escherichia  coli,O18:K1:H7,6.00E+04,peritoneum,-,infected,24,2,1
blood A/J mouse strain blood taken 24 hours after infection with E. coli,Mus musculus,total RNA,A/J,male,0.50-0.66,Escherichia  coli,O18:K1:H7,6.00E+04,peritoneum,-,infected,24,3,1
blood A/J mouse strain blood taken 24 hours after infection with E. coli,Mus musculus,total RNA,A/J,male,0.50-0.66,Escherichia  coli,O18:K1:H7,6.00E+04,peritoneum,-,infected,24,4,1
blood A/J mouse strain blood taken 24 hours after infection with E. coli,Mus musculus,total RNA,A/J,male,0.50-0.66,Escherichia  coli,O18:K1:H7,6.00E+04,peritoneum,-,infected,24,5,1
blood A/J mouse strain blood taken 2 hours after infection with S. aureus MW2,Mus musculus,total RNA,A/J,male,0.50-0.66,Staphylococcus aureus,MW2,1.00E+07,peritoneum,-,infected,2,1,6
blood A/J mouse strain blood taken 2 hours after infection with S. aureus MW2,Mus musculus,total RNA,A/J,male,0.50-0.66,Staphylococcus aureus,MW2,1.00E+07,peritoneum,-,infected,2,2,6
blood A/J mouse strain blood taken 2 hours after infection with S. aureus MW2,Mus musculus,total RNA,A/J,male,0.50-0.66,Staphylococcus aureus,MW2,1.00E+07,peritoneum,-,infected,2,3,6
blood A/J mouse strain blood taken 2 hours after infection with S. aureus Sanger476,Mus musculus,total RNA,A/J,male,0.50-0.66,Staphylococcus aureus,Sanger476,1.00E+07,peritoneum,-,infected,2,1,2
blood A/J mouse strain blood taken 2 hours after infection with S. aureus Sanger476,Mus musculus,total RNA,A/J,male,0.50-0.66,Staphylococcus aureus,Sanger476,1.00E+07,peritoneum,-,infected,2,2,2
blood A/J mouse strain blood taken 2 hours after infection with S. aureus Sanger476,Mus musculus,total RNA,A/J,male,0.50-0.66,Staphylococcus aureus,Sanger476,1.00E+07,peritoneum,-,infected,2,3,2
blood A/J mouse strain blood taken 2 hours after infection with S. aureus Sanger476,Mus musculus,total RNA,A/J,male,0.50-0.66,Staphylococcus aureus,Sanger476,1.00E+07,peritoneum,-,infected,2,4,2
blood A/J mouse strain blood taken 2 hours after infection with S. aureus Sanger476,Mus musculus,total RNA,A/J,male,0.50-0.66,Staphylococcus aureus,Sanger476,1.00E+07,peritoneum,-,infected,2,5,2
blood A/J mouse strain blood taken 2 hours after infection with S. aureus Sanger476,Mus musculus,total RNA,A/J,male,0.50-0.66,Staphylococcus aureus,Sanger476,1.00E+07,peritoneum,-,infected,2,1,2
blood A/J mouse strain blood taken 2 hours after infection with S. aureus Sanger476,Mus musculus,total RNA,A/J,male,0.50-0.66,Staphylococcus aureus,Sanger476,1.00E+07,peritoneum,-,infected,2,2,2
blood A/J mouse strain blood taken 2 hours after infection with S. aureus Sanger476,Mus musculus,total RNA,A/J,male,0.50-0.66,Staphylococcus aureus,Sanger476,1.00E+07,peritoneum,-,infected,2,3,2
